iter	Passed	Remaining
0	2	1166
1	5	1034
2	7	977
3	9	947
4	11	930
5	13	916
6	16	917
7	18	905
8	20	897
9	22	888
10	24	883
11	27	878
12	29	873
13	31	878
14	34	876
15	36	871
16	38	866
17	40	862
18	42	858
19	45	857
20	47	852
21	49	848
22	51	844
23	53	841
24	55	838
25	58	834
26	60	833
27	62	830
28	64	827
29	66	824
30	69	821
31	71	818
32	73	815
33	75	817
34	78	820
35	81	819
36	83	821
37	85	819
38	88	816
39	90	815
40	92	812
41	94	808
42	97	805
43	99	802
44	101	799
45	103	796
46	105	795
47	108	792
48	110	790
49	112	787
50	114	784
51	116	781
52	118	778
53	121	776
54	123	774
55	125	771
56	127	768
57	129	765
58	131	762
59	134	759
60	136	758
61	138	755
62	141	754
63	143	752
64	145	750
65	147	747
66	149	744
67	152	742
68	154	740
69	156	737
70	158	734
71	160	732
72	162	729
73	165	728
74	167	726
75	169	723
76	171	721
77	174	718
78	176	716
79	178	713
80	181	713
81	183	711
82	185	708
83	187	706
84	189	703
85	192	701
86	194	699
87	196	697
88	198	694
89	200	692
90	203	689
91	205	687
92	207	684
93	209	683
94	212	683
95	215	681
96	217	679
97	219	677
98	221	674
99	224	672
100	226	669
101	228	667
102	230	664
103	232	662
104	235	660
105	237	657
106	239	656
107	241	653
108	244	651
109	246	649
110	248	646
111	250	644
112	252	641
113	255	639
114	257	637
115	259	634
116	261	632
117	263	630
118	265	627
119	267	625
120	270	623
121	272	621
122	274	618
123	276	616
124	279	614
125	281	611
126	283	609
127	285	607
128	287	604
129	290	602
130	292	600
131	294	597
132	296	595
133	298	593
134	302	592
135	304	590
136	306	588
137	308	585
138	310	583
139	312	581
140	315	579
141	317	576
142	319	574
143	321	572
144	323	569
145	326	567
146	328	564
147	330	562
148	332	560
149	334	558
150	336	555
151	339	553
152	341	551
153	343	548
154	345	546
155	348	545
156	351	543
157	353	541
158	355	538
159	357	536
160	359	534
161	362	531
162	364	529
163	366	527
164	368	524
165	370	522
166	372	520
167	375	518
168	377	515
169	379	513
170	381	511
171	383	508
172	386	506
173	388	504
174	390	502
175	392	499
176	394	497
177	396	495
178	399	492
179	401	490
180	403	488
181	405	486
182	408	483
183	410	481
184	412	479
185	414	477
186	416	474
187	418	472
188	421	470
189	423	468
190	425	465
191	427	463
192	430	461
193	432	459
194	434	456
195	436	454
196	438	452
197	441	450
198	443	447
199	445	445
200	447	443
201	450	441
202	452	439
203	454	437
204	457	434
205	459	432
206	461	430
207	463	428
208	466	425
209	468	423
210	470	421
211	472	419
212	474	416
213	476	414
214	479	412
215	481	410
216	484	408
217	487	406
218	489	404
219	491	402
220	493	399
221	495	397
222	498	395
223	500	392
224	502	390
225	504	388
226	506	386
227	508	383
228	511	381
229	513	379
230	515	377
231	517	374
232	519	372
233	521	370
234	524	367
235	526	365
236	528	363
237	530	361
238	532	359
239	535	356
240	537	354
241	539	352
242	541	350
243	544	347
244	546	345
245	548	343
246	550	340
247	552	338
248	554	336
249	557	334
250	559	332
251	561	329
252	563	327
253	565	325
254	568	323
255	570	320
256	572	318
257	574	316
258	576	314
259	579	311
260	581	309
261	584	307
262	587	305
263	589	303
264	592	301
265	595	299
266	598	298
267	602	296
268	607	295
269	613	295
270	618	294
271	625	294
272	630	293
273	640	294
274	646	293
275	651	292
276	655	290
277	658	289
278	662	287
279	666	285
280	669	283
281	673	282
282	678	280
283	682	278
284	687	277
285	692	275
286	695	274
287	699	272
288	703	270
289	708	268
290	713	267
291	717	265
292	721	263
293	725	261
294	733	261
295	737	259
296	742	257
297	748	256
298	753	254
299	761	253
300	769	252
301	776	252
302	782	250
303	789	249
304	795	247
305	802	246
306	810	245
307	819	244
308	827	243
309	832	241
310	836	239
311	842	237
312	847	235
313	851	233
314	855	230
315	859	228
316	863	225
317	868	224
318	873	221
319	878	219
320	883	217
321	888	215
322	893	212
323	898	210
324	903	208
325	912	207
326	917	204
327	921	202
328	931	200
329	938	199
330	944	196
331	948	194
332	953	191
333	958	189
334	962	186
335	969	184
336	975	182
337	981	179
338	986	177
339	990	174
340	994	172
341	999	169
342	1003	166
343	1008	164
344	1012	161
345	1015	158
346	1019	155
347	1024	153
348	1028	150
349	1032	147
350	1036	144
351	1040	141
352	1046	139
353	1050	136
354	1055	133
355	1062	131
356	1067	128
357	1073	125
358	1081	123
359	1087	120
360	1094	118
361	1099	115
362	1104	112
363	1108	109
364	1112	106
365	1116	103
366	1120	100
367	1124	97
368	1129	94
369	1137	92
370	1144	89
371	1162	87
372	1168	84
373	1174	81
374	1181	78
375	1185	75
376	1189	72
377	1192	69
378	1196	66
379	1200	63
380	1203	60
381	1208	56
382	1211	53
383	1215	50
384	1219	47
385	1224	44
386	1227	41
387	1232	38
388	1236	34
389	1240	31
390	1244	28
391	1248	25
392	1252	22
393	1263	19
394	1265	16
395	1270	12
396	1273	9
397	1278	6
398	1281	3
399	1285	0
